codigo,descricao,segmento
0111301,Cultivo de arroz,Agropecuária
0111302,Cultivo de milho,Agropecuária
0111303,Cultivo de trigo,Agropecuária
0111399,Cultivo de outros cereais não especificados anteriormente,Agropecuária
0112101,Cultivo de algodão herbáceo,Agropecuária
0112102,Cultivo de juta,Agropecuária
0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Agropecuária
0113000,Cultivo de cana-de-açúcar,Agropecuária
0114800,Cultivo de fumo,Agropecuária
0115600,Cultivo de soja,Agropecuária
0116401,Cultivo de amendoim,Agropecuária
0116402,Cultivo de girassol,Agropecuária
0116403,Cultivo de mamona,Agropecuária
0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Agropecuária
0119901,Cultivo de abacaxi,Agropecuária
0119902,Cultivo de alho,Agropecuária
0119903,Cultivo de batata-inglesa,Agropecuária
0119904,Cultivo de cebola,Agropecuária
0119905,Cultivo de feijão,Agropecuária
0119906,Cultivo de mandioca,Agropecuária
0119907,Cultivo de melão,Agropecuária
0119908,Cultivo de melancia,Agropecuária
0119909,Cultivo de tomate rasteiro,Agropecuária
0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Agropecuária
0121101,"Horticultura, exceto morango",Agropecuária
0121102,Cultivo de morango,Agropecuária
0122900,Cultivo de flores e plantas ornamentais,Agropecuária
0131800,Cultivo de laranja,Agropecuária
0132600,Cultivo de uva,Agropecuária
0133401,Cultivo de açaí,Agropecuária
0133402,Cultivo de banana,Agropecuária
0133403,Cultivo de caju,Agropecuária
0133404,"Cultivo de cítricos, exceto laranja",Agropecuária
0133405,Cultivo de coco-da-baía,Agropecuária
0133406,Cultivo de guaraná,Agropecuária
0133407,Cultivo de maçã,Agropecuária
0133408,Cultivo de mamão,Agropecuária
0133409,Cultivo de maracujá,Agropecuária
0133410,Cultivo de manga,Agropecuária
0133411,Cultivo de pêssego,Agropecuária
0133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Agropecuária
0134200,Cultivo de café,Agropecuária
0135100,Cultivo de cacau,Agropecuária
0139301,Cultivo de chá-da-índia,Agropecuária
0139302,Cultivo de erva-mate,Agropecuária
0139303,Cultivo de pimenta-do-reino,Agropecuária
0139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino",Agropecuária
0139305,Cultivo de dendê,Agropecuária
0139306,Cultivo de seringueira,Agropecuária
0139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Agropecuária
0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",Agropecuária
0141502,Produção de sementes certificadas de forrageiras para formação de pasto,Agropecuária
0142300,"Produção de mudas e outras formas de propagação vegetal, certificadas",Agropecuária
0151201,Criação de bovinos para corte,Agropecuária
0151202,Criação de bovinos para leite,Agropecuária
0151203,"Criação de bovinos, exceto para corte e leite",Agropecuária
0152101,Criação de bufalinos,Agropecuária
0152102,Criação de eqüinos,Agropecuária
0152103,Criação de asininos e muares,Agropecuária
0153901,Criação de caprinos,Agropecuária
0153902,"Criação de ovinos, inclusive para produção de lã",Agropecuária
0154700,Criação de suínos,Agropecuária
0155501,Criação de frangos para corte,Agropecuária
0155502,Produção de pintos de um dia,Indústria
